id;broj_ugovora;datum_ugovora;broj_odluke;datum_odluke;iznos_ugovora_bez_pdf;sifra_postupka;sifra_ponude;sifra_ponudjaca
1;Account;2021-07-18;B2B open-source haptic;2021-07-18;91089;47510;32583;32480
2;pink Infrastructure Ouguiya;2021-07-18;motivating IB Estates;2021-07-18;95564;23960;75398;4013
3;eyeballs online;2021-07-18;empowering Czech Soft;2021-07-18;55206;90461;24984;44573
4;feed;2021-07-18;Oklahoma target Administrator;2021-07-19;34493;27998;43316;159
5;Pines;2021-07-19;analyzing wireless;2021-07-18;42;74068;65381;48239
6;Profit-focused;2021-07-18;Product;2021-07-18;5558;78786;96311;70021
7;Intelligent;2021-07-18;coherent state;2021-07-18;45989;57810;99043;98659
8;models drive Checking;2021-07-18;orchestrate Cotton Marketing;2021-07-19;45072;74222;95444;55838
9;Fantastic;2021-07-19;Corporate;2021-07-18;47829;8253;85944;60602
10;non-volatile utilize;2021-07-18;Ergonomic Jewelery;2021-07-18;4094;27322;73676;88477
